Layer|Dice_var|Dice_mean|Dice_trial|Dice_ostu
0|0.12602377807133422|0.09643605870020965|0.5615792575132587|0.7442348008385744
1|0.04474873878005634|0.08008898776418243|0.05892924706772607|0.1687333923826395
2|0.10304267522115292|0.48698884758364314|0.7527151211361738|0.7124352331606217
3|0.08367214181167669|0.14697406340057637|0.5560271646859083|0.519090909090909
4|0.18640635126377186|0.08315473639091299|0.5915074309978768|0.452991452991453
5|0.23131243541164312|0.32241250930752047|0.9251054852320675|0.8212956068503351
6|0.10895132309702711|0.014336917562724014|0.3269367448471926|0.12401433691756272
7|0.14122194143005798|0.04039357845675816|0.4263622974963181|0.38277291570704747
8|0.1937740823362401|0.07135826771653543|0.5237899917965545|0.3430515063168124
9|0.13633572159672466|0.06564245810055866|0.370138017565872|0.3151750972762646
10|0.19908987485779295|0.03851640513552068|0.43754361479413817|0.2392920353982301
11|0.2600336205085102|0.03595959595959596|0.8965247950019524|0.24727272727272728
